,mid,typ,gold_type,agreed_count,total_annotation
23,./nw/wsj/02/wsj_0289.v4_gold_conll-4-5-6,organization.company,organization,3,4
24,./nw/wsj/02/wsj_0289.v4_gold_conll-5-0-3,organization,organization,4,4
25,./nw/wsj/02/wsj_0289.v4_gold_conll-5-23-24,location,location,4,4
26,./nw/wsj/02/wsj_0289.v4_gold_conll-5-23-24,location.city,location,3,4
27,./nw/wsj/02/wsj_0289.v4_gold_conll-5-28-31,finance.currency,finance.currency,4,4
28,./nw/wsj/02/wsj_0289.v4_gold_conll-5-6-7,organization,organization,4,4
29,./nw/wsj/02/wsj_0289.v4_gold_conll-5-6-7,organization.company,organization,3,4
30,./nw/wsj/02/wsj_0289.v4_gold_conll-6-0-1,organization,organization,4,4
31,./nw/wsj/02/wsj_0289.v4_gold_conll-6-0-1,organization.company,organization,3,4
32,./nw/wsj/04/wsj_0424.v4_gold_conll-0-0-3,person,person,4,4
33,./nw/wsj/04/wsj_0424.v4_gold_conll-1-1-2,person,person,4,4
34,./nw/wsj/04/wsj_0424.v4_gold_conll-1-16-25,organization,organization,4,4
35,./nw/wsj/04/wsj_0424.v4_gold_conll-1-30-36,government_agency,organization,3,4
36,./nw/wsj/04/wsj_0424.v4_gold_conll-1-30-36,organization,organization,4,4
37,./nw/wsj/04/wsj_0424.v4_gold_conll-1-8-13,organization,organization,4,4
38,./nw/wsj/04/wsj_0486.v4_gold_conll-0-0-3,organization,organization,4,4
39,./nw/wsj/04/wsj_0486.v4_gold_conll-0-0-3,organization.company,organization,4,4
40,./nw/wsj/04/wsj_0486.v4_gold_conll-0-15-19,organization,organization,4,4
41,./nw/wsj/04/wsj_0486.v4_gold_conll-0-15-19,organization.company,organization,4,4
42,./nw/wsj/04/wsj_0486.v4_gold_conll-0-21-22,location,location,4,4
43,./nw/wsj/04/wsj_0486.v4_gold_conll-0-21-22,location.country,location,4,4
44,./nw/wsj/04/wsj_0486.v4_gold_conll-0-23-27,finance.currency,finance.currency,4,4
45,./nw/wsj/04/wsj_0486.v4_gold_conll-0-4-5,location,location,3,4
46,./nw/wsj/04/wsj_0486.v4_gold_conll-0-4-5,location.city,location,3,4
47,./nw/wsj/04/wsj_0486.v4_gold_conll-0-6-7,location,location,3,4
48,./nw/wsj/04/wsj_0486.v4_gold_conll-1-1-2,ethnicity,norpl,3,4
49,./nw/wsj/04/wsj_0486.v4_gold_conll-1-25-26,location,location,4,4
50,./nw/wsj/04/wsj_0486.v4_gold_conll-1-6-8,organization,organization,4,4
51,./nw/wsj/04/wsj_0486.v4_gold_conll-1-6-8,organization.company,organization,4,4
52,./nw/wsj/04/wsj_0486.v4_gold_conll-2-20-21,location,location,4,4
53,./nw/wsj/04/wsj_0486.v4_gold_conll-2-20-21,location.country,location,4,4
54,./nw/wsj/04/wsj_0486.v4_gold_conll-2-22-23,location,location,4,4
55,./nw/wsj/04/wsj_0486.v4_gold_conll-2-22-23,location.country,location,4,4
56,./nw/wsj/04/wsj_0486.v4_gold_conll-2-9-11,organization,organization,4,4
57,./nw/wsj/04/wsj_0486.v4_gold_conll-2-9-11,organization.company,organization,4,4
58,./nw/wsj/04/wsj_0486.v4_gold_conll-3-4-5,time,time,3,4
59,./nw/wsj/04/wsj_0486.v4_gold_conll-3-7-11,finance.currency,finance.currency,4,4
60,./nw/wsj/04/wsj_0486.v4_gold_conll-4-0-2,organization,organization,3,4
61,./nw/wsj/04/wsj_0486.v4_gold_conll-4-0-2,organization.company,organization,3,4
62,./nw/wsj/04/wsj_0486.v4_gold_conll-4-20-21,location,location,4,4
63,./nw/wsj/04/wsj_0486.v4_gold_conll-4-20-21,location.country,location,4,4
64,./nw/wsj/04/wsj_0486.v4_gold_conll-4-22-23,location,location,4,4
65,./nw/wsj/04/wsj_0486.v4_gold_conll-4-22-23,location.country,location,4,4
66,./nw/wsj/04/wsj_0486.v4_gold_conll-4-24-25,location,location,4,4
67,./nw/wsj/04/wsj_0486.v4_gold_conll-4-24-25,location.country,location,4,4
68,./nw/wsj/04/wsj_0486.v4_gold_conll-4-26-27,location,location,4,4
69,./nw/wsj/04/wsj_0486.v4_gold_conll-4-26-27,location.country,location,4,4
70,./nw/wsj/04/wsj_0486.v4_gold_conll-5-1-2,organization,organization,3,4
71,./nw/wsj/04/wsj_0486.v4_gold_conll-5-1-2,organization.company,organization,3,4
72,./nw/wsj/04/wsj_0486.v4_gold_conll-5-10-11,ethnicity,norpl,3,4
73,./nw/wsj/04/wsj_0486.v4_gold_conll-5-12-13,ethnicity,norpl,3,4
74,./nw/wsj/04/wsj_0486.v4_gold_conll-6-1-2,organization,organization,3,4
75,./nw/wsj/04/wsj_0486.v4_gold_conll-6-1-2,organization.company,organization,3,4
76,./nw/wsj/05/wsj_0572.v4_gold_conll-0-0-3,person,person,4,4
77,./nw/wsj/05/wsj_0572.v4_gold_conll-1-1-2,person,person,4,4
78,./nw/wsj/05/wsj_0572.v4_gold_conll-1-13-14,location,location,4,4
79,./nw/wsj/05/wsj_0572.v4_gold_conll-1-13-14,location.city,location,3,4
80,./nw/wsj/05/wsj_0572.v4_gold_conll-1-15-16,location,location,4,4
81,./nw/wsj/05/wsj_0572.v4_gold_conll-1-18-20,person,person,4,4
82,./nw/wsj/05/wsj_0572.v4_gold_conll-1-9-12,organization,organization,3,4
83,./nw/wsj/05/wsj_0597.v4_gold_conll-0-18-23,organization,organization,4,4
84,./nw/wsj/05/wsj_0597.v4_gold_conll-0-18-23,organization.company,organization,3,4
85,./nw/wsj/05/wsj_0597.v4_gold_conll-0-25-28,organization,organization,4,4
86,./nw/wsj/05/wsj_0597.v4_gold_conll-0-25-28,organization.company,organization,3,4
87,./nw/wsj/05/wsj_0597.v4_gold_conll-0-34-35,organization,organization,3,4
88,./nw/wsj/05/wsj_0597.v4_gold_conll-0-5-6,location,location,4,4
89,./nw/wsj/05/wsj_0597.v4_gold_conll-1-1-3,person,person,4,4
90,./nw/wsj/05/wsj_0597.v4_gold_conll-1-10-11,location,location,4,4
91,./nw/wsj/05/wsj_0597.v4_gold_conll-1-10-11,location.city,location,4,4
92,./nw/wsj/05/wsj_0597.v4_gold_conll-1-18-20,time,time,4,4
93,./nw/wsj/05/wsj_0597.v4_gold_conll-1-21-22,person,person,4,4
94,./nw/wsj/05/wsj_0597.v4_gold_conll-1-23-25,person,person,4,4
95,./nw/wsj/05/wsj_0597.v4_gold_conll-1-33-34,organization,organization,3,4
96,./nw/wsj/05/wsj_0597.v4_gold_conll-2-3-4,organization,organization,3,4
97,./nw/wsj/05/wsj_0597.v4_gold_conll-3-0-1,organization,organization,4,4
98,./nw/wsj/05/wsj_0597.v4_gold_conll-3-0-1,organization.company,organization,3,4
99,./nw/wsj/05/wsj_0597.v4_gold_conll-4-14-16,time,time,4,4
100,./nw/wsj/05/wsj_0597.v4_gold_conll-4-35-37,time,time,4,4
101,./nw/wsj/05/wsj_0597.v4_gold_conll-5-0-2,person,person,3,4
102,./nw/wsj/05/wsj_0597.v4_gold_conll-5-12-20,finance.currency,finance.currency,4,4
103,./nw/wsj/05/wsj_0597.v4_gold_conll-6-1-5,organization,organization,4,4
104,./nw/wsj/05/wsj_0597.v4_gold_conll-6-7-8,location,location,4,4
105,./nw/wsj/05/wsj_0597.v4_gold_conll-6-7-8,location.city,location,3,4
106,./nw/wsj/05/wsj_0597.v4_gold_conll-6-9-11,person,person,4,4
107,./nw/wsj/06/wsj_0683.v4_gold_conll-0-13-14,astral_body,location,5,5
108,./nw/wsj/06/wsj_0683.v4_gold_conll-0-13-14,location,location,5,5
109,./nw/wsj/06/wsj_0683.v4_gold_conll-0-4-5,location,location,5,5
110,./nw/wsj/06/wsj_0683.v4_gold_conll-0-4-5,location.country,location,3,5
111,./nw/wsj/06/wsj_0683.v4_gold_conll-1-13-14,location,location,5,5
112,./nw/wsj/06/wsj_0683.v4_gold_conll-1-13-14,location.country,location,5,5
113,./nw/wsj/06/wsj_0683.v4_gold_conll-1-2-5,education.department,organization,3,5
114,./nw/wsj/06/wsj_0683.v4_gold_conll-1-2-5,organization,organization,5,5
115,./nw/wsj/06/wsj_0683.v4_gold_conll-1-2-5,organization.educational_institution,organization,3,5
116,./nw/wsj/06/wsj_0683.v4_gold_conll-1-21-22,location,location,5,5
117,./nw/wsj/06/wsj_0683.v4_gold_conll-1-21-22,location.country,location,3,5
118,./nw/wsj/06/wsj_0683.v4_gold_conll-1-33-38,time,time,5,5
119,./nw/wsj/06/wsj_0683.v4_gold_conll-1-44-48,time,time,5,5
120,./nw/wsj/06/wsj_0683.v4_gold_conll-1-6-12,organization,organization,5,5
121,./nw/wsj/06/wsj_0683.v4_gold_conll-1-6-12,organization.educational_institution,organization,5,5
122,./nw/wsj/06/wsj_0683.v4_gold_conll-10-21-22,astral_body,location,5,5
123,./nw/wsj/06/wsj_0683.v4_gold_conll-10-21-22,location,location,5,5
124,./nw/wsj/06/wsj_0683.v4_gold_conll-11-16-19,time,time,5,5
125,./nw/wsj/06/wsj_0683.v4_gold_conll-12-12-17,time,time,5,5
126,./nw/wsj/06/wsj_0683.v4_gold_conll-12-21-27,time,time,4,5
127,./nw/wsj/06/wsj_0683.v4_gold_conll-12-33-35,time,time,5,5
128,./nw/wsj/06/wsj_0683.v4_gold_conll-14-12-13,person,person,5,5
129,./nw/wsj/06/wsj_0683.v4_gold_conll-15-10-11,location,location,5,5
130,./nw/wsj/06/wsj_0683.v4_gold_conll-15-6-7,location,location,5,5
131,./nw/wsj/06/wsj_0683.v4_gold_conll-15-6-7,location.country,location,5,5
132,./nw/wsj/06/wsj_0683.v4_gold_conll-15-8-9,location,location,5,5
133,./nw/wsj/06/wsj_0683.v4_gold_conll-15-8-9,location.country,location,5,5
134,./nw/wsj/06/wsj_0683.v4_gold_conll-2-13-14,astral_body,location,5,5
135,./nw/wsj/06/wsj_0683.v4_gold_conll-2-13-14,location,location,5,5
136,./nw/wsj/06/wsj_0683.v4_gold_conll-2-18-20,time,time,5,5
137,./nw/wsj/06/wsj_0683.v4_gold_conll-2-35-38,time,time,5,5
138,./nw/wsj/06/wsj_0683.v4_gold_conll-3-8-9,astral_body,location,5,5
139,./nw/wsj/06/wsj_0683.v4_gold_conll-3-8-9,location,location,5,5
140,./nw/wsj/06/wsj_0683.v4_gold_conll-4-27-29,person,person,5,5
141,./nw/wsj/06/wsj_0683.v4_gold_conll-5-4-8,time,time,5,5
142,./nw/wsj/06/wsj_0683.v4_gold_conll-7-13-14,location,location,5,5
143,./nw/wsj/06/wsj_0683.v4_gold_conll-7-13-14,location.country,location,3,5
144,./nw/wsj/06/wsj_0683.v4_gold_conll-7-27-28,time,time,5,5
145,./nw/wsj/06/wsj_0683.v4_gold_conll-7-30-35,time,time,5,5
146,./nw/wsj/06/wsj_0683.v4_gold_conll-7-38-42,time,time,3,5
147,./nw/wsj/06/wsj_0683.v4_gold_conll-7-4-8,geography.glacier,location,4,5
148,./nw/wsj/06/wsj_0683.v4_gold_conll-7-4-8,location,location,4,5
149,./nw/wsj/06/wsj_0683.v4_gold_conll-7-44-45,person,person,5,5
150,./nw/wsj/06/wsj_0683.v4_gold_conll-8-8-9,location,location,5,5
151,./nw/wsj/06/wsj_0683.v4_gold_conll-9-26-27,person,person,5,5
152,./nw/wsj/10/wsj_1005.v4_gold_conll-0-0-5,organization,organization,3,3
153,./nw/wsj/10/wsj_1005.v4_gold_conll-0-0-5,organization.company,organization,3,3
154,./nw/wsj/10/wsj_1005.v4_gold_conll-0-13-16,organization,organization,3,3
155,./nw/wsj/10/wsj_1005.v4_gold_conll-0-13-16,organization.airline,organization,3,3
156,./nw/wsj/10/wsj_1005.v4_gold_conll-3-7-11,organization,organization,3,3
157,./nw/wsj/10/wsj_1005.v4_gold_conll-3-7-11,organization.company,organization,3,3
158,./nw/wsj/10/wsj_1005.v4_gold_conll-4-0-2,organization,organization,3,3
159,./nw/wsj/10/wsj_1005.v4_gold_conll-4-0-2,organization.airline,organization,3,3
160,./nw/wsj/10/wsj_1005.v4_gold_conll-4-10-11,location,location,3,3
161,./nw/wsj/10/wsj_1005.v4_gold_conll-4-6-9,organization,organization,3,3
162,./nw/wsj/10/wsj_1009.v4_gold_conll-0-0-4,organization,organization,4,4
163,./nw/wsj/10/wsj_1009.v4_gold_conll-0-0-4,organization.company,organization,4,4
164,./nw/wsj/10/wsj_1009.v4_gold_conll-0-10-14,organization,organization,4,4
165,./nw/wsj/10/wsj_1009.v4_gold_conll-0-10-14,organization.company,organization,4,4
166,./nw/wsj/10/wsj_1009.v4_gold_conll-0-17-21,time,time,3,4
167,./nw/wsj/10/wsj_1009.v4_gold_conll-0-24-27,finance.currency,finance.currency,4,4
168,./nw/wsj/10/wsj_1009.v4_gold_conll-0-28-31,finance.currency,finance.currency,4,4
169,./nw/wsj/10/wsj_1009.v4_gold_conll-0-31-34,time,time,3,4
170,./nw/wsj/10/wsj_1009.v4_gold_conll-0-38-41,finance.currency,finance.currency,4,4
171,./nw/wsj/10/wsj_1009.v4_gold_conll-1-13-16,finance.currency,finance.currency,4,4
172,./nw/wsj/10/wsj_1009.v4_gold_conll-1-21-24,finance.currency,finance.currency,4,4
173,./nw/wsj/10/wsj_1009.v4_gold_conll-1-24-27,time,time,3,4
174,./nw/wsj/10/wsj_1009.v4_gold_conll-1-7-12,time,time,3,4
175,./nw/wsj/10/wsj_1009.v4_gold_conll-2-17-20,time,time,3,4
176,./nw/wsj/10/wsj_1009.v4_gold_conll-2-4-5,time,time,3,4
177,./nw/wsj/10/wsj_1012.v4_gold_conll-1-0-3,organization,organization,4,4
178,./nw/wsj/10/wsj_1012.v4_gold_conll-1-0-3,organization.company,organization,3,4
179,./nw/wsj/10/wsj_1012.v4_gold_conll-1-8-9,time,time,4,4
180,./nw/wsj/10/wsj_1012.v4_gold_conll-2-12-13,location,location,4,4
181,./nw/wsj/10/wsj_1012.v4_gold_conll-2-12-13,location.country,location,4,4
182,./nw/wsj/10/wsj_1012.v4_gold_conll-2-15-16,ethnicity,norpl,3,4
183,./nw/wsj/10/wsj_1012.v4_gold_conll-2-25-27,time,time,4,4
184,./nw/wsj/10/wsj_1012.v4_gold_conll-3-2-3,location,location,4,4
185,./nw/wsj/10/wsj_1012.v4_gold_conll-3-2-3,location.country,location,4,4
186,./nw/wsj/10/wsj_1012.v4_gold_conll-5-0-3,person,person,4,4
187,./nw/wsj/10/wsj_1012.v4_gold_conll-5-22-24,person,person,4,4
188,./nw/wsj/10/wsj_1012.v4_gold_conll-6-10-12,person,person,4,4
189,./nw/wsj/10/wsj_1012.v4_gold_conll-6-13-15,person,person,4,4
190,./nw/wsj/10/wsj_1012.v4_gold_conll-6-22-23,time,time,4,4
191,./nw/wsj/10/wsj_1016.v4_gold_conll-0-17-20,organization,organization,4,4
192,./nw/wsj/10/wsj_1016.v4_gold_conll-0-17-20,organization.company,organization,4,4
193,./nw/wsj/10/wsj_1016.v4_gold_conll-0-8-9,time,time,4,4
194,./nw/wsj/10/wsj_1016.v4_gold_conll-1-3-4,organization,organization,3,4
195,./nw/wsj/10/wsj_1016.v4_gold_conll-1-3-4,organization.company,organization,3,4
196,./nw/wsj/10/wsj_1016.v4_gold_conll-3-0-1,organization,organization,3,4
197,./nw/wsj/10/wsj_1016.v4_gold_conll-3-0-1,organization.company,organization,3,4
198,./nw/wsj/10/wsj_1018.v4_gold_conll-0-0-2,person,person,3,4
199,./nw/wsj/10/wsj_1018.v4_gold_conll-0-8-11,organization,organization,3,4
200,./nw/wsj/10/wsj_1018.v4_gold_conll-1-14-15,location,location,4,4
201,./nw/wsj/10/wsj_1018.v4_gold_conll-1-14-15,location.country,location,3,4
202,./nw/wsj/10/wsj_1018.v4_gold_conll-1-17-19,news_agency,organization,3,4
203,./nw/wsj/10/wsj_1018.v4_gold_conll-1-17-19,organization,organization,4,4
204,./nw/wsj/10/wsj_1018.v4_gold_conll-1-27-28,organization,organization,3,4
205,./nw/wsj/10/wsj_1018.v4_gold_conll-1-30-33,finance.currency,finance.currency,3,4
206,./nw/wsj/10/wsj_1018.v4_gold_conll-1-34-37,finance.currency,finance.currency,4,4
207,./nw/wsj/10/wsj_1018.v4_gold_conll-1-5-6,person,person,4,4
208,./nw/wsj/10/wsj_1018.v4_gold_conll-1-7-10,organization,organization,3,4
209,./nw/wsj/10/wsj_1018.v4_gold_conll-2-6-10,organization,organization,3,4
210,./nw/wsj/10/wsj_1018.v4_gold_conll-3-10-12,person,person,4,4
211,./nw/wsj/10/wsj_1018.v4_gold_conll-4-12-15,finance.currency,finance.currency,3,4
212,./nw/wsj/10/wsj_1018.v4_gold_conll-4-16-19,finance.currency,finance.currency,3,4
213,./nw/wsj/10/wsj_1018.v4_gold_conll-4-30-31,organization,organization,3,4
214,./nw/wsj/10/wsj_1018.v4_gold_conll-4-30-31,organization.company,organization,3,4
215,./nw/wsj/10/wsj_1018.v4_gold_conll-5-12-13,location,location,4,4
216,./nw/wsj/10/wsj_1018.v4_gold_conll-5-12-13,location.country,location,3,4
217,./nw/wsj/10/wsj_1018.v4_gold_conll-5-20-21,organization,organization,3,4
218,./nw/wsj/10/wsj_1018.v4_gold_conll-5-20-21,organization.company,organization,3,4
219,./nw/wsj/10/wsj_1018.v4_gold_conll-5-3-5,time,time,3,4
220,./nw/wsj/10/wsj_1018.v4_gold_conll-6-1-2,time,time,3,4
221,./nw/wsj/10/wsj_1018.v4_gold_conll-6-4-8,finance.currency,finance.currency,3,4
222,./nw/wsj/10/wsj_1018.v4_gold_conll-6-9-10,organization,organization,3,4
223,./nw/wsj/10/wsj_1018.v4_gold_conll-6-9-10,organization.company,organization,3,4
224,./nw/wsj/10/wsj_1018.v4_gold_conll-7-1-3,person,person,4,4
225,./nw/wsj/10/wsj_1018.v4_gold_conll-7-10-11,organization,organization,3,4
226,./nw/wsj/10/wsj_1018.v4_gold_conll-7-10-11,organization.company,organization,3,4
227,./nw/wsj/10/wsj_1023.v4_gold_conll-0-0-2,organization,organization,4,4
228,./nw/wsj/10/wsj_1023.v4_gold_conll-0-0-2,organization.company,organization,4,4
229,./nw/wsj/10/wsj_1023.v4_gold_conll-0-11-16,organization,organization,4,4
230,./nw/wsj/10/wsj_1023.v4_gold_conll-0-11-16,organization.company,organization,4,4
231,./nw/wsj/10/wsj_1023.v4_gold_conll-0-17-18,location,location,4,4
232,./nw/wsj/10/wsj_1023.v4_gold_conll-0-17-18,location.city,location,4,4
233,./nw/wsj/10/wsj_1023.v4_gold_conll-0-19-21,location,location,4,4
234,./nw/wsj/10/wsj_1023.v4_gold_conll-2-3-5,location,location,4,4
235,./nw/wsj/10/wsj_1023.v4_gold_conll-2-3-5,location.city,location,4,4
236,./nw/wsj/10/wsj_1023.v4_gold_conll-2-6-7,location,location,4,4
237,./nw/wsj/10/wsj_1023.v4_gold_conll-2-9-10,organization,organization,4,4
238,./nw/wsj/10/wsj_1023.v4_gold_conll-2-9-10,organization.company,organization,4,4
239,./nw/wsj/10/wsj_1023.v4_gold_conll-3-0-2,organization,organization,4,4
240,./nw/wsj/10/wsj_1023.v4_gold_conll-3-0-2,organization.company,organization,4,4
241,./nw/wsj/10/wsj_1023.v4_gold_conll-3-18-22,organization,organization,4,4
242,./nw/wsj/10/wsj_1023.v4_gold_conll-3-18-22,organization.company,organization,4,4
243,./nw/wsj/10/wsj_1023.v4_gold_conll-3-23-26,organization,organization,4,4
244,./nw/wsj/10/wsj_1023.v4_gold_conll-3-23-26,organization.company,organization,4,4
245,./nw/wsj/10/wsj_1023.v4_gold_conll-3-38-40,location,location,4,4
246,./nw/wsj/10/wsj_1023.v4_gold_conll-3-38-40,location.city,location,4,4
247,./nw/wsj/10/wsj_1023.v4_gold_conll-4-0-2,person,person,4,4
248,./nw/wsj/10/wsj_1023.v4_gold_conll-4-19-23,finance.currency,finance.currency,4,4
249,./nw/wsj/10/wsj_1023.v4_gold_conll-4-23-25,time,time,4,4
250,./nw/wsj/10/wsj_1023.v4_gold_conll-4-7-9,organization,organization,4,4
251,./nw/wsj/10/wsj_1023.v4_gold_conll-4-7-9,organization.company,organization,4,4
252,./nw/wsj/10/wsj_1023.v4_gold_conll-5-2-3,organization,organization,4,4
253,./nw/wsj/10/wsj_1023.v4_gold_conll-5-2-3,organization.company,organization,4,4
254,./nw/wsj/10/wsj_1023.v4_gold_conll-5-9-10,location,location,4,4
255,./nw/wsj/10/wsj_1023.v4_gold_conll-5-9-10,location.country,location,4,4
256,./nw/wsj/10/wsj_1024.v4_gold_conll-0-0-3,organization,organization,4,4
257,./nw/wsj/10/wsj_1024.v4_gold_conll-0-0-3,organization.company,organization,4,4
258,./nw/wsj/10/wsj_1024.v4_gold_conll-0-10-14,organization,organization,3,4
259,./nw/wsj/10/wsj_1024.v4_gold_conll-0-10-14,organization.company,organization,3,4
260,./nw/wsj/10/wsj_1024.v4_gold_conll-0-4-5,location,location,4,4
261,./nw/wsj/10/wsj_1024.v4_gold_conll-0-4-5,location.city,location,3,4
262,./nw/wsj/10/wsj_1024.v4_gold_conll-0-6-7,location,location,4,4
263,./nw/wsj/10/wsj_1024.v4_gold_conll-1-1-2,location,location,3,4
264,./nw/wsj/10/wsj_1024.v4_gold_conll-1-1-2,location.city,location,3,4
265,./nw/wsj/10/wsj_1024.v4_gold_conll-1-3-4,location,location,4,4
266,./nw/wsj/10/wsj_1024.v4_gold_conll-1-3-4,location.province,location,3,4
267,./nw/wsj/10/wsj_1024.v4_gold_conll-2-14-16,time,time,3,4
268,./nw/wsj/10/wsj_1024.v4_gold_conll-2-19-22,organization,organization,3,4
269,./nw/wsj/10/wsj_1024.v4_gold_conll-2-19-22,organization.company,organization,3,4
270,./nw/wsj/10/wsj_1024.v4_gold_conll-3-5-7,person,person,4,4
271,./nw/wsj/10/wsj_1024.v4_gold_conll-4-0-3,person,person,4,4
272,./nw/wsj/10/wsj_1024.v4_gold_conll-4-6-9,organization,organization,4,4
273,./nw/wsj/10/wsj_1024.v4_gold_conll-4-6-9,organization.company,organization,3,4
274,./nw/wsj/10/wsj_1027.v4_gold_conll-0-0-3,person,person,4,4
275,./nw/wsj/10/wsj_1027.v4_gold_conll-0-29-35,organization,organization,4,4
276,./nw/wsj/10/wsj_1027.v4_gold_conll-0-29-35,organization.company,organization,4,4
277,./nw/wsj/10/wsj_1027.v4_gold_conll-1-0-3,person,person,4,4
278,./nw/wsj/10/wsj_1027.v4_gold_conll-3-1-2,person,person,4,4
279,./nw/wsj/10/wsj_1027.v4_gold_conll-3-16-17,location,location,4,4
280,./nw/wsj/10/wsj_1027.v4_gold_conll-3-16-17,location.county,location,4,4
281,./nw/wsj/10/wsj_1030.v4_gold_conll-0-0-3,person,person,4,4
282,./nw/wsj/10/wsj_1030.v4_gold_conll-1-1-2,person,person,4,4
283,./nw/wsj/10/wsj_1030.v4_gold_conll-1-10-13,organization,organization,4,4
284,./nw/wsj/10/wsj_1030.v4_gold_conll-1-10-13,organization.company,organization,4,4
285,./nw/wsj/10/wsj_1030.v4_gold_conll-1-18-20,organization,organization,4,4
286,./nw/wsj/10/wsj_1030.v4_gold_conll-1-18-20,organization.company,organization,4,4
287,./nw/wsj/10/wsj_1030.v4_gold_conll-1-27-28,location,location,4,4
288,./nw/wsj/10/wsj_1030.v4_gold_conll-1-27-28,location.city,location,3,4
289,./nw/wsj/10/wsj_1030.v4_gold_conll-3-28-31,person,person,4,4
290,./nw/wsj/10/wsj_1030.v4_gold_conll-3-4-8,person,person,4,4
291,./nw/wsj/10/wsj_1032.v4_gold_conll-0-0-4,organization,organization,4,4
292,./nw/wsj/10/wsj_1032.v4_gold_conll-0-0-4,organization.company,organization,4,4
293,./nw/wsj/10/wsj_1032.v4_gold_conll-0-15-19,time,time,3,4
294,./nw/wsj/10/wsj_1032.v4_gold_conll-1-19-24,time,time,3,4
295,./nw/wsj/10/wsj_1032.v4_gold_conll-1-4-7,organization,organization,4,4
296,./nw/wsj/10/wsj_1032.v4_gold_conll-1-4-7,organization.company,organization,4,4
297,./nw/wsj/10/wsj_1032.v4_gold_conll-2-0-3,organization,organization,4,4
298,./nw/wsj/10/wsj_1032.v4_gold_conll-2-0-3,organization.company,organization,4,4
299,./nw/wsj/10/wsj_1032.v4_gold_conll-2-18-21,finance.currency,finance.currency,4,4
300,./nw/wsj/10/wsj_1032.v4_gold_conll-2-22-25,finance.currency,finance.currency,4,4
301,./nw/wsj/10/wsj_1032.v4_gold_conll-3-12-14,organization,organization,4,4
302,./nw/wsj/10/wsj_1032.v4_gold_conll-3-12-14,organization.company,organization,4,4
303,./nw/wsj/10/wsj_1032.v4_gold_conll-3-15-17,organization,organization,4,4
304,./nw/wsj/10/wsj_1032.v4_gold_conll-3-15-17,organization.company,organization,4,4
305,./nw/wsj/10/wsj_1032.v4_gold_conll-4-20-23,organization,organization,4,4
306,./nw/wsj/10/wsj_1032.v4_gold_conll-4-20-23,organization.company,organization,4,4
307,./nw/wsj/10/wsj_1032.v4_gold_conll-4-9-11,time,time,4,4
308,./nw/wsj/10/wsj_1032.v4_gold_conll-5-29-33,organization,organization,4,4
309,./nw/wsj/10/wsj_1032.v4_gold_conll-5-29-33,organization.company,organization,4,4
310,./nw/wsj/10/wsj_1032.v4_gold_conll-5-39-40,organization,organization,3,4
311,./nw/wsj/10/wsj_1032.v4_gold_conll-5-39-40,organization.company,organization,3,4
312,./nw/wsj/10/wsj_1032.v4_gold_conll-5-8-11,organization,organization,4,4
313,./nw/wsj/10/wsj_1032.v4_gold_conll-5-8-11,organization.company,organization,4,4
314,./nw/wsj/10/wsj_1032.v4_gold_conll-6-17-18,organization,organization,4,4
315,./nw/wsj/10/wsj_1032.v4_gold_conll-6-17-18,organization.company,organization,4,4
